,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-05-4384-01A,0.19348907,0.07413275,0.10640864,0.26310986,0.29436803,0.16951253,0.52604926,0.0083560115,0.0,0.0,0.0,0.00060828764,0.46013355,0.24310373,0.13289745,0.28106636,0.18013687,0.13060248,0.0,0.0,0.36621758,0.21461214,0.14055677,0.15942022,0.09866255,0.43038818,0.0,0.06905773,0.033338558,0.25968257,0.18913405
TCGA-05-4390-01A,0.0,0.4049453,0.034152843,0.43191138,0.46074528,0.27637854,0.59592485,0.34329587,0.0,0.0,0.0,0.25691992,0.38695863,0.4040372,0.26370597,0.12050002,0.12845115,0.088288724,0.0,0.0,0.42506814,0.39538023,0.17253429,0.28848645,0.08405209,0.30698955,0.1852799,0.07655374,0.17407757,0.13049412,0.1258507
TCGA-05-4396-01A,0.14962962,0.018288396,0.2762258,0.24105327,0.5546421,0.19331394,0.5833846,0.19021533,0.0,0.0,0.0,0.0,0.6604705,0.5914136,0.23849791,0.109332584,0.08576518,0.338532,0.1843465,0.0,0.3766541,0.30392194,0.008033467,0.0,0.056,0.17276295,0.0,0.2269641,0.20390393,0.34172288,0.24401784
TCGA-05-4405-01A,0.0,0.22115117,0.0,0.21332572,0.33813828,0.24117489,0.5374069,0.18878253,0.08138049,0.0,0.0,0.066492826,0.30672863,0.3435503,0.061766163,0.3180215,0.08709829,0.0,0.15302935,0.0,0.26844943,0.14672714,0.0,0.070884585,0.18400349,0.17615359,0.040816754,0.22082283,0.0,0.31024796,0.0
TCGA-05-4410-01A,0.026347078,0.16250087,0.0,0.23747173,0.51389074,0.3927683,0.5221997,0.02298597,0.23271991,0.0,0.0,0.13066855,0.2830689,0.20149575,0.12487551,0.24005847,0.051696405,0.0,0.07274008,0.0,0.29455617,0.1504512,0.03210009,0.057715278,0.098812915,0.25008234,0.12510182,0.13154596,0.05417239,0.28439975,0.011135023
TCGA-05-4415-01A,0.021641921,0.24351756,0.22570688,0.16284283,0.59031343,0.30709624,0.48247105,0.08236929,0.0,0.13851249,0.0,0.34951025,0.42347407,0.17935511,0.4053785,0.2211972,0.16781786,0.05366334,0.0021202639,0.0,0.0,0.36563665,0.0,0.15186298,0.0,0.40801823,0.23500702,0.31976733,0.17982933,0.0,0.5075631
TCGA-05-4417-01A,0.056614824,0.24702625,0.012319125,0.23353037,0.44763353,0.3667189,0.50827605,0.17793535,0.0,0.0,0.0,0.12104341,0.2901549,0.31416562,0.14965159,0.27020982,0.114965014,0.05537158,0.0,0.0,0.40413648,0.21972749,0.0,0.1026813,0.08031197,0.15815176,0.19938447,0.1326623,0.17943522,0.17158033,0.0046812017
TCGA-05-4424-01A,0.13200341,0.041979466,0.0,0.2758491,0.42847523,0.3147915,0.31979918,0.14632614,0.0,0.0,0.0,0.30041295,0.34994692,0.25715703,0.286768,0.35154092,0.11541663,0.23094687,0.038776547,0.029772315,0.28403673,0.043585837,0.0,0.08869547,0.10695699,0.26911503,0.0,0.27366996,0.0,0.122560285,0.06841739
TCGA-05-4425-01A,0.14728029,0.24888112,0.0,0.099051885,0.5073727,0.25888363,0.4308858,0.24181852,0.18895483,0.0,0.0,0.061510768,0.4192821,0.4513884,0.0,0.27288085,0.22671568,0.0,0.14808512,0.0,0.38117766,0.2289852,0.0,0.06816261,0.16371608,0.14029665,0.13289948,0.28912136,0.0,0.39241776,0.0
TCGA-05-4427-01A,0.0,0.14913504,0.13086173,0.23785117,0.5751461,0.37889868,0.6844404,0.27303773,0.0,0.0,0.0,0.1418106,0.44221905,0.28974423,0.28649175,0.14076293,0.0,0.16543181,0.0900357,0.0,0.09598206,0.39951888,0.24295583,0.025726726,0.16934839,0.23479305,0.0,0.0058160974,0.059416324,0.31158754,0.31872487
TCGA-05-4433-01A,0.18606837,0.10208064,0.30924132,0.088902354,0.40334347,0.12612101,0.39911956,0.055000894,0.249425,0.0,0.0,0.0,0.49708456,0.20632847,0.10302896,0.240969,0.13481914,0.08615845,0.018012855,0.0,0.47593883,0.17533638,0.063511826,0.010901063,0.0027771662,0.1447904,0.17264237,0.12934981,0.29113892,0.23450617,0.00066761486
TCGA-05-5420-01A,0.050231904,0.10217156,0.03791396,0.16071638,0.49325523,0.41461578,0.24830246,0.06499676,0.0,0.0,0.0,0.2983291,0.37025207,0.12508789,0.13696416,0.2102362,0.1584116,0.15762264,0.0,0.0,0.23572174,0.10864522,0.039978065,0.0,0.0069740824,0.31730944,0.19620535,0.09909002,0.17780186,0.0,0.14591119
TCGA-05-5423-01A,0.2704042,0.0,0.0,0.4322188,0.42707312,0.35677364,0.5335062,0.100683816,0.0,0.0,0.0,0.21687019,0.4729421,0.2521589,0.103902146,0.26539487,0.15569872,0.007305139,0.0,0.0,0.43575293,0.3411727,0.0,0.059551693,0.2835062,0.2831566,0.09727016,0.2593663,0.0,0.19556825,0.1197297
TCGA-05-5425-01A,0.11346957,0.13421656,0.1609082,0.27858543,0.6371222,0.35301495,0.43205458,0.06648828,0.0991673,0.0,0.0,0.25349998,0.3999502,0.16055076,0.22961646,0.27620712,0.09518785,0.12844907,0.0,0.0,0.35989484,0.18057868,0.0,0.0,0.12096882,0.124639526,0.15590043,0.16892435,0.21146168,0.11908556,0.11675487
TCGA-05-5428-01A,0.054349113,0.2831036,0.1766157,0.3117729,0.5985161,0.35116372,0.65297395,0.008827613,0.18807702,0.0,0.0,0.21920076,0.5762223,0.36603194,0.14094275,0.120142974,0.15592234,0.05087097,0.07297462,0.0,0.07759459,0.40474176,0.0,0.10595144,0.3023906,0.13299689,0.06038365,0.15467954,0.0,0.34019196,0.1705649
TCGA-05-5429-01A,0.34840614,0.120785564,0.29757315,0.081707045,0.46675807,0.16808766,0.34445056,0.044329587,0.30906367,0.0,0.0,0.04570535,0.49395594,0.24142008,0.060375176,0.09765097,0.16868767,0.0052229026,0.0,0.0,0.5667769,0.18816623,0.0,0.0,0.15007949,0.0,0.11691117,0.16327041,0.25671014,0.32646188,0.09358931
TCGA-05-5715-01A,0.20421194,0.20391648,0.22204989,0.24090852,0.46761426,0.13789672,0.5867997,0.34843993,0.0,0.0,0.0,0.30553094,0.47789487,0.50833595,0.18955277,0.24849847,0.19609004,0.0,0.0,0.0,0.49878058,0.21261233,0.0,0.07404832,0.26421022,0.38138723,0.04885547,0.39191705,0.0923344,0.2185148,0.0
TCGA-06-0125-01A,0.12906191,0.35276705,0.18973014,0.26389432,0.31512114,0.0,0.0,0.4166207,0.21616875,0.6495515,0.0,0.0,0.0,0.09290121,0.0,0.1768591,0.30465332,0.15128219,0.19102052,0.0,0.046139374,0.23267436,0.0752353,0.28411338,0.18452391,0.15541907,0.24321029,0.116183065,0.0,0.5136008,0.28344446
TCGA-06-0125-02A,0.061233565,0.31435934,0.2562847,0.2519827,0.35338458,0.2539916,0.04311829,0.43943328,0.1620227,0.5764437,0.0,0.0,0.0,0.11293443,0.0,0.27427313,0.23346218,0.05276333,0.1214407,0.0,0.06545718,0.114133656,0.0,0.24149413,0.14984962,0.069128856,0.17653403,0.16488169,0.0,0.26644677,0.14592205
TCGA-06-0152-02A,0.076586194,0.39786464,0.20714757,0.30670264,0.47546944,0.24427058,0.0,0.12336147,0.17498028,0.51079375,0.0,0.0,0.0,0.045501456,0.0,0.21284673,0.12178382,0.046769712,0.2392564,0.0,0.06060138,0.19549246,0.015326066,0.21120557,0.14882706,0.19812131,0.35868403,0.16939105,0.0,0.30623087,0.24739546
TCGA-06-0171-02A,0.07323346,0.23632725,0.2848391,0.20162502,0.49567354,0.36998188,0.0,0.14206299,0.07253448,0.30495813,0.0,0.004865756,0.0,0.04864153,0.0,0.5284289,0.22960624,0.0810242,0.23652628,0.0,0.109539025,0.025744768,0.0,0.18322112,0.030185174,0.29622814,0.23801963,0.18502678,0.0,0.18515821,0.0301268
TCGA-06-0190-01A,0.14173348,0.32298943,0.23087193,0.19776843,0.4577458,0.2471099,0.0,0.08046079,0.069180936,0.44046554,0.0,0.0,0.0,0.07949651,0.0,0.36584783,0.2938931,0.15654154,0.14965497,0.0,0.059425037,0.0056801294,0.0,0.23726651,0.14383148,0.12007901,0.18199252,0.12441755,0.0,0.25742742,0.14949968
