,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-05-4384-01A,4.606601,1.6650285,2.6536763,8.002339,6.193596,3.782452,10.993107,0.1944028,0.0,0.0,0.0,0.012101412,9.992109,6.6203375,4.2471237,8.996034,6.385488,4.404443,0.0,0.0,7.754958,5.003795,3.359909,3.941825,3.1194122,7.907004,0.0,2.2596924,1.0073091,5.7737875,4.346034
TCGA-05-4390-01A,0.0,9.09511,0.85172206,13.136343,9.694225,6.1670284,12.453331,7.986786,0.0,0.0,0.0,5.1112227,8.403067,11.002969,8.42749,3.8568196,4.5533338,2.9774523,0.0,0.0,9.001167,9.218498,4.1243086,7.1331167,2.6574736,5.6399493,3.8803935,2.504975,5.259673,2.9014091,2.891872
TCGA-05-4396-01A,3.5623922,0.4107591,6.888668,7.3315005,11.669844,4.31355,12.191271,4.425364,0.0,0.0,0.0,0.0,14.34256,16.10571,7.6218934,3.4993858,3.0402024,11.416666,6.2002134,0.0,7.97596,7.0860996,0.19203429,0.0,1.7705511,3.1739657,0.0,7.426671,6.1608624,7.5978737,5.6071863
TCGA-05-4405-01A,0.0,4.9670763,0.0,6.4881825,7.1145353,5.381505,11.2304535,4.39203,1.7377231,0.0,0.0,1.3228233,6.6608186,9.355755,1.973917,10.17885,3.0874584,0.0,5.146909,0.0,5.6846375,3.4210205,0.0,1.7526926,5.817635,3.2362578,0.8548422,7.2257175,0.0,6.89806,0.0
TCGA-05-4410-01A,0.6272731,3.6497848,0.0,7.22257,10.812422,8.764115,10.912661,0.5347691,4.9692845,0.0,0.0,2.5995495,6.1470313,5.4872456,3.9907594,7.6835027,1.8325331,0.0,2.4465017,0.0,6.237469,3.5078487,0.76732963,1.4270681,3.1241663,4.594462,2.620059,4.304419,1.6367936,6.3233504,0.25586715
TCGA-05-4415-01A,0.51525235,5.4694276,5.6288,4.9527736,12.42038,6.852454,10.082432,1.9163234,0.0,3.5724277,0.0,6.953236,9.196024,4.8842993,12.955047,7.079814,5.948804,1.8097445,0.07131185,0.0,0.0,8.525011,0.0,3.7549644,0.0,7.4960275,4.9218493,10.463359,5.4334598,0.0,11.663086
TCGA-05-4417-01A,1.3478897,5.548233,0.307221,7.102696,9.41835,8.182857,10.621692,4.13967,0.0,0.0,0.0,2.4080648,6.3009086,8.555535,4.782551,8.648551,4.0752773,1.8673531,0.0,0.0,8.557922,5.123062,0.0,2.5388982,2.5392222,2.905532,4.1757913,4.3409476,5.421552,3.814921,0.10756743
TCGA-05-4424-01A,3.1427462,0.94286275,0.0,8.389796,9.015253,7.024164,6.6829987,3.404281,0.0,0.0,0.0,5.9764833,7.5993323,7.0030446,9.164504,11.251699,4.091286,7.7884607,1.30419,0.66764855,6.014711,1.0162268,0.0,2.1930845,3.3816574,4.9441266,0.0,8.95497,0.0,2.725008,1.5721354
TCGA-05-4425-01A,3.5064595,5.5898933,0.0,3.0126078,10.675281,5.7766523,9.00443,5.625913,4.0347657,0.0,0.0,1.2237091,9.104993,12.292462,0.0,8.734042,8.0366125,0.0,4.9806175,0.0,8.071751,5.3389106,0.0,1.6853889,5.1762085,2.5775015,2.7833688,9.460567,0.0,8.725025,0.0
TCGA-05-4427-01A,0.0,3.349587,3.2635005,7.2341104,12.1012535,8.454633,14.303083,6.352229,0.0,0.0,0.0,2.821212,9.603084,7.8904777,9.155676,4.5053706,0.0,5.5790286,3.0282137,0.0,2.032499,9.314993,5.8076854,0.6361191,5.3542852,4.31357,0.0,0.1903131,1.7952367,6.927844,7.3238487
TCGA-05-4433-01A,4.429929,2.2927408,7.7120275,2.7039154,8.486473,2.8142269,8.340595,1.279597,5.3259892,0.0,0.0,0.0,10.794525,5.618853,3.2925894,7.712646,4.779066,2.9056106,0.60583496,0.0,10.078396,4.08806,1.5182048,0.2695397,0.087805614,2.6600597,3.6157203,4.232557,8.796627,5.2140155,0.01534085
TCGA-05-5420-01A,1.1959246,2.2947829,0.9455188,4.888099,10.378244,9.251614,5.188897,1.512151,0.0,0.0,0.0,5.935026,8.040273,3.4064636,4.377087,6.7289877,5.615371,5.3156714,0.0,0.0,4.9916015,2.5331206,0.955647,0.0,0.22049944,5.8295445,4.1092095,3.2424026,5.372201,0.0,3.3528335
TCGA-05-5423-01A,6.4378014,0.0,0.0,13.145693,8.985752,7.9609413,11.148939,2.3424113,0.0,0.0,0.0,4.3144646,10.270256,6.8669333,3.3204947,8.49444,5.5192046,0.24635878,0.0,0.0,9.227427,7.9546213,0.0,1.4724754,8.963611,5.2020955,2.0371692,8.486929,0.0,4.3482685,2.75122
TCGA-05-5425-01A,2.7014914,3.0145166,4.012816,8.473021,13.4052515,7.8770704,9.028854,1.5468514,2.1175263,0.0,0.0,5.0431857,8.685187,4.3722086,7.338061,8.840506,3.3742168,4.331821,0.0,0.0,7.621069,4.210287,0.0,0.0,3.8246691,2.289852,3.2650871,5.5275064,6.3892164,2.6477509,2.6828625
TCGA-05-5428-01A,1.2939475,6.3585334,4.4045377,9.482399,12.592966,7.835763,13.645514,0.20537461,4.0160217,0.0,0.0,4.3608294,12.513054,9.967988,4.504235,3.8453918,5.5271316,1.7155744,2.4543903,0.0,1.6431292,9.436768,0.0,2.6197557,9.5606785,2.4433916,1.2646397,5.061391,0.0,7.5638356,3.9193416
TCGA-05-5429-01A,8.294877,2.712855,7.42104,2.485074,9.820736,3.7506583,7.1981506,1.0313288,6.5994577,0.0,0.0,0.9092725,10.726585,6.574487,1.929464,3.1254947,5.979637,0.17613736,0.0,0.0,12.001966,4.3871946,0.0,0.0,4.7450604,0.0,2.448519,5.3424997,7.756378,7.2585607,2.1505506
TCGA-05-5715-01A,4.8618917,4.579983,5.5376,7.327098,9.838751,3.0769866,12.262638,8.1064625,0.0,0.0,0.0,6.0783014,10.377809,13.843291,6.057709,7.95364,6.950996,0.0,0.0,0.0,10.562089,4.9571686,0.0,1.830919,8.35353,7.0067687,1.0232003,12.824226,2.789841,4.858463,0.0
TCGA-06-0125-01A,3.0727148,7.923181,4.7315927,8.026198,6.6302476,0.0,0.0,9.69269,4.615866,16.752827,0.0,0.0,0.0,2.529938,0.0,5.660693,10.799344,5.101846,6.424684,0.0,0.9770392,5.4249253,1.7984459,7.024988,5.8340893,2.8553274,5.0936537,3.8017175,0.0,11.419412,6.513155
TCGA-06-0125-02A,1.457853,7.06054,6.391367,7.6639123,7.4353223,5.6674933,0.90106386,10.223425,3.459682,14.867275,0.0,0.0,0.0,3.075494,0.0,8.7786045,8.275763,1.7793925,4.084473,0.0,1.3861096,2.6610863,0.0,5.9711847,4.737793,1.2700212,3.697225,5.3952236,0.0,5.924183,3.3530834
TCGA-06-0152-02A,1.8233694,8.936077,5.165958,9.32819,10.004026,5.450581,0.0,2.8700073,3.736366,13.174074,0.0,0.0,0.0,1.2391212,0.0,6.812542,4.3169904,1.5772635,8.047025,0.0,1.2832841,4.5580096,0.36635864,5.2222695,4.7054625,3.6398444,7.512068,5.542778,0.0,6.808744,5.684799
