,0,1,cancer_type
TCGA-05-4384-01A,-1.8304337,-3.5184703,TCGA-LUAD
TCGA-05-4390-01A,-1.9438626,-7.4231486,TCGA-LUAD
TCGA-05-4396-01A,-1.2937117,-8.204265,TCGA-LUAD
TCGA-05-4405-01A,-0.7063494,1.338064,TCGA-LUAD
TCGA-05-4410-01A,0.1425692,-1.6848308,TCGA-LUAD
TCGA-05-4415-01A,-0.5023963,-8.452987,TCGA-LUAD
TCGA-05-4417-01A,0.9181608,-1.9507419,TCGA-LUAD
TCGA-05-4424-01A,1.466034,-4.290392,TCGA-LUAD
TCGA-05-4425-01A,-0.1264242,0.99902683,TCGA-LUAD
TCGA-05-4427-01A,-1.5277754,-2.7357407,TCGA-LUAD
TCGA-05-4433-01A,0.461498,8.631171,TCGA-LUAD
TCGA-05-5420-01A,1.659527,-3.4397252,TCGA-LUAD
TCGA-05-5423-01A,1.0653771,0.14719838,TCGA-LUAD
TCGA-05-5425-01A,1.2450768,-3.3672955,TCGA-LUAD
TCGA-05-5428-01A,0.18173125,-0.6918583,TCGA-LUAD
TCGA-05-5429-01A,2.1905868,8.678573,TCGA-LUAD
TCGA-05-5715-01A,0.22476114,1.2771516,TCGA-LUAD
TCGA-06-0125-01A,-15.094762,11.857788,TCGA-GBM
TCGA-06-0125-02A,-14.873996,11.933861,TCGA-GBM
TCGA-06-0152-02A,-15.258803,12.329491,TCGA-GBM
TCGA-06-0171-02A,-14.3812,10.302025,TCGA-GBM
TCGA-06-0190-01A,-14.304566,11.141744,TCGA-GBM
TCGA-06-0190-02A,-14.313239,11.083918,TCGA-GBM
TCGA-06-0210-01A,-14.760121,11.661832,TCGA-GBM
TCGA-06-0210-02A,-14.796272,11.754181,TCGA-GBM
TCGA-06-0211-01A,-15.123253,12.407578,TCGA-GBM
TCGA-06-0211-02A,-14.801625,13.097329,TCGA-GBM
TCGA-06-0221-02A,-25.580484,-0.33791393,TCGA-GBM
TCGA-06-1804-01A,-19.421518,10.0748,TCGA-GBM
TCGA-06-5408-01A,-14.004836,12.523234,TCGA-GBM
TCGA-06-5410-01A,-13.81008,10.718234,TCGA-GBM
TCGA-06-5411-01A,-13.998128,11.504993,TCGA-GBM
TCGA-06-5412-01A,-13.853758,10.732353,TCGA-GBM
TCGA-06-5413-01A,-14.242963,12.921512,TCGA-GBM
TCGA-06-5414-01A,-14.792655,13.118698,TCGA-GBM
TCGA-06-5416-01A,-13.646234,12.507966,TCGA-GBM
TCGA-06-5417-01A,-13.703215,13.91513,TCGA-GBM
TCGA-06-5418-01A,-14.754456,11.866037,TCGA-GBM
TCGA-06-5856-01A,-14.679463,13.261499,TCGA-GBM
TCGA-06-5858-01A,-13.870927,11.133252,TCGA-GBM
TCGA-06-5859-01A,-14.332315,12.938899,TCGA-GBM
TCGA-06-AABW-11A,-22.682108,11.003492,TCGA-GBM
TCGA-12-5295-01A,-13.872458,13.628889,TCGA-GBM
TCGA-12-5299-01A,-13.836557,13.55603,TCGA-GBM
TCGA-13-A5FT-01A,-7.0524087,-18.620142,TCGA-OV
TCGA-14-0736-02A,-13.181305,12.735436,TCGA-GBM
TCGA-14-0781-01B,-13.949692,10.851167,TCGA-GBM
TCGA-14-1034-02B,-13.95036,13.804647,TCGA-GBM
TCGA-14-1402-02A,-14.110951,13.480013,TCGA-GBM
TCGA-15-1444-01A,-22.81438,6.1908627,TCGA-GBM
TCGA-18-3417-01A,4.4572215,-23.96623,TCGA-LUSC
TCGA-18-4721-01A,4.147294,-23.94898,TCGA-LUSC
TCGA-18-5592-01A,1.0468205,-24.700321,TCGA-LUSC
TCGA-18-5595-01A,5.737277,-25.018604,TCGA-LUSC
TCGA-19-0957-02A,-14.90303,11.651027,TCGA-GBM
TCGA-19-1389-02A,-14.08133,11.058664,TCGA-GBM
TCGA-19-4065-01A,-14.243621,11.074661,TCGA-GBM
TCGA-19-4065-02A,-14.181389,11.078034,TCGA-GBM
TCGA-19-5960-01A,-14.628707,13.051437,TCGA-GBM
TCGA-21-5782-01A,-7.4107437,-19.26796,TCGA-LUSC
TCGA-21-5783-01A,-0.36170575,-21.382069,TCGA-LUSC
TCGA-21-5784-01A,1.136731,-12.233782,TCGA-LUSC
TCGA-21-5786-01A,-0.11654948,-22.226122,TCGA-LUSC
TCGA-21-5787-01A,1.7207941,-4.126371,TCGA-LUSC
TCGA-21-A5DI-01A,-1.6156429,-13.954987,TCGA-LUSC
