,0,1,cancer_type
TCGA-05-4384-01A,-30.485018,12.610307,TCGA-LUAD
TCGA-05-4390-01A,-28.72624,5.7832603,TCGA-LUAD
TCGA-05-4396-01A,-33.219063,8.139927,TCGA-LUAD
TCGA-05-4405-01A,-25.93972,11.766258,TCGA-LUAD
TCGA-05-4410-01A,-27.268581,6.410756,TCGA-LUAD
TCGA-05-4415-01A,-35.554245,5.8084326,TCGA-LUAD
TCGA-05-4417-01A,-27.096716,5.901487,TCGA-LUAD
TCGA-05-4424-01A,-30.633635,6.2732286,TCGA-LUAD
TCGA-05-4425-01A,-23.29697,15.414971,TCGA-LUAD
TCGA-05-4427-01A,-33.093872,7.6275563,TCGA-LUAD
TCGA-05-4433-01A,-20.119816,6.1763554,TCGA-LUAD
TCGA-05-5420-01A,-27.07837,3.810441,TCGA-LUAD
TCGA-05-5423-01A,-24.119078,5.7904725,TCGA-LUAD
TCGA-05-5425-01A,-28.131174,4.7505345,TCGA-LUAD
TCGA-05-5428-01A,-24.276524,5.251471,TCGA-LUAD
TCGA-05-5429-01A,-17.484236,-0.31236163,TCGA-LUAD
TCGA-05-5715-01A,-22.86257,16.844322,TCGA-LUAD
TCGA-06-0125-01A,71.1661,21.039356,TCGA-GBM
TCGA-06-0125-02A,70.60935,21.955046,TCGA-GBM
TCGA-06-0152-02A,70.63932,22.57221,TCGA-GBM
TCGA-06-0171-02A,68.83002,22.595238,TCGA-GBM
TCGA-06-0190-01A,69.66603,22.370127,TCGA-GBM
TCGA-06-0190-02A,69.492035,22.666077,TCGA-GBM
TCGA-06-0210-01A,70.24307,21.010576,TCGA-GBM
TCGA-06-0210-02A,70.39438,20.684515,TCGA-GBM
TCGA-06-0211-01A,70.36882,22.384932,TCGA-GBM
TCGA-06-0211-02A,70.65516,22.439001,TCGA-GBM
TCGA-06-0221-02A,76.79165,12.995,TCGA-GBM
TCGA-06-1804-01A,71.23745,20.605091,TCGA-GBM
TCGA-06-5408-01A,70.79892,21.16764,TCGA-GBM
TCGA-06-5410-01A,68.96588,22.663982,TCGA-GBM
TCGA-06-5411-01A,70.00536,20.738478,TCGA-GBM
TCGA-06-5412-01A,69.06104,22.637802,TCGA-GBM
TCGA-06-5413-01A,70.638885,22.076488,TCGA-GBM
TCGA-06-5414-01A,70.81596,22.433256,TCGA-GBM
TCGA-06-5416-01A,70.55141,19.844341,TCGA-GBM
TCGA-06-5417-01A,72.68964,19.743492,TCGA-GBM
TCGA-06-5418-01A,70.49307,21.713566,TCGA-GBM
TCGA-06-5856-01A,71.173775,22.240026,TCGA-GBM
TCGA-06-5858-01A,70.2,21.314234,TCGA-GBM
TCGA-06-5859-01A,70.691216,21.925331,TCGA-GBM
TCGA-06-AABW-11A,65.38994,10.699884,TCGA-GBM
TCGA-12-5295-01A,71.64405,21.844112,TCGA-GBM
TCGA-12-5299-01A,71.90559,22.153162,TCGA-GBM
TCGA-13-A5FT-01A,-10.182223,-30.30704,TCGA-OV
TCGA-14-0736-02A,69.29325,23.2256,TCGA-GBM
TCGA-14-0781-01B,69.07656,22.607857,TCGA-GBM
TCGA-14-1034-02B,72.10814,22.43896,TCGA-GBM
TCGA-14-1402-02A,71.69108,21.919151,TCGA-GBM
TCGA-15-1444-01A,76.80803,14.447396,TCGA-GBM
TCGA-18-3417-01A,-50.12204,-19.590143,TCGA-LUSC
TCGA-18-4721-01A,-52.81272,0.9462214,TCGA-LUSC
TCGA-18-5592-01A,-48.207195,3.1626804,TCGA-LUSC
TCGA-18-5595-01A,-58.154625,-1.0231045,TCGA-LUSC
TCGA-19-0957-02A,70.43503,20.346588,TCGA-GBM
TCGA-19-1389-02A,69.36911,22.550806,TCGA-GBM
TCGA-19-4065-01A,69.72068,21.812641,TCGA-GBM
TCGA-19-4065-02A,69.5392,22.287535,TCGA-GBM
TCGA-19-5960-01A,71.61851,22.775476,TCGA-GBM
TCGA-21-5782-01A,-26.830564,37.151432,TCGA-LUSC
TCGA-21-5783-01A,-41.699585,3.8202963,TCGA-LUSC
TCGA-21-5784-01A,-38.829823,-7.9212894,TCGA-LUSC
TCGA-21-5786-01A,-44.737804,1.6631584,TCGA-LUSC
TCGA-21-5787-01A,-31.223892,3.4089072,TCGA-LUSC
TCGA-21-A5DI-01A,-42.50842,-6.0170994,TCGA-LUSC
TCGA-22-4593-01A,-41.248974,2.7908487,TCGA-LUSC
TCGA-22-4599-01A,-52.67343,0.9862827,TCGA-LUSC
TCGA-22-4601-01A,-44.352524,4.8697715,TCGA-LUSC
TCGA-22-4605-01A,-42.58779,-4.0208035,TCGA-LUSC
TCGA-22-4609-01A,-42.922394,-3.3018365,TCGA-LUSC
TCGA-22-4613-01A,-48.188465,-0.63514584,TCGA-LUSC
TCGA-22-5471-01A,-45.73454,1.5109806,TCGA-LUSC
TCGA-22-5471-11A,-17.490234,12.648773,TCGA-LUSC
TCGA-22-5472-01A,-41.05649,-7.1927423,TCGA-LUSC
TCGA-22-5472-11A,-17.65591,12.4044895,TCGA-LUSC
TCGA-22-5473-01A,-49.321987,1.8651376,TCGA-LUSC
TCGA-22-5474-01A,-45.976337,1.8861039,TCGA-LUSC
TCGA-22-5477-01A,-48.164864,3.7385664,TCGA-LUSC
TCGA-22-5478-01A,-40.97326,-3.7730262,TCGA-LUSC
TCGA-22-5478-11A,-17.445677,12.46364,TCGA-LUSC
TCGA-22-5479-01A,-45.912167,-1.0148289,TCGA-LUSC
TCGA-22-5480-01A,-39.794914,0.50249285,TCGA-LUSC
TCGA-22-5481-01A,-37.995842,0.85314584,TCGA-LUSC
TCGA-22-5482-01A,-49.542023,0.6241912,TCGA-LUSC
TCGA-22-5482-11A,-17.695187,12.322514,TCGA-LUSC
TCGA-22-5483-01A,-45.49519,5.405134,TCGA-LUSC
TCGA-22-5485-01A,-48.660713,-0.27694592,TCGA-LUSC
TCGA-22-5489-01A,-41.22798,-0.3466947,TCGA-LUSC
TCGA-22-5489-11A,-17.697691,12.413471,TCGA-LUSC
TCGA-22-5491-01A,-49.25687,0.81813276,TCGA-LUSC
TCGA-22-5491-11A,-17.30711,12.520096,TCGA-LUSC
TCGA-22-5492-01A,-41.63261,-3.6553116,TCGA-LUSC
TCGA-22-A5C4-01A,-42.746445,3.1623511,TCGA-LUSC
TCGA-26-1442-01A,76.83903,14.42144,TCGA-GBM
TCGA-26-5132-01A,71.1255,22.626638,TCGA-GBM
TCGA-26-5133-01A,72.80164,20.014168,TCGA-GBM
TCGA-26-5134-01A,70.561615,18.863325,TCGA-GBM
TCGA-26-5135-01A,70.51552,20.400623,TCGA-GBM
TCGA-26-5136-01B,70.82916,21.166197,TCGA-GBM
TCGA-26-5139-01A,70.99615,21.409607,TCGA-GBM
TCGA-28-2510-01A,69.60119,20.767246,TCGA-GBM
TCGA-28-5204-01A,71.26448,22.465029,TCGA-GBM
TCGA-28-5207-01A,70.51905,21.634604,TCGA-GBM
TCGA-28-5208-01A,71.25814,22.275406,TCGA-GBM
TCGA-28-5209-01A,71.79448,22.386063,TCGA-GBM
TCGA-28-5213-01A,69.43552,23.063889,TCGA-GBM
TCGA-28-5215-01A,70.458664,20.483732,TCGA-GBM
TCGA-28-5216-01A,70.51082,20.420965,TCGA-GBM
TCGA-28-5218-01A,69.8399,23.340734,TCGA-GBM
TCGA-28-5220-01A,70.76447,21.440077,TCGA-GBM
TCGA-29-A5NZ-01A,-10.0754595,-30.36263,TCGA-OV
TCGA-2A-A8VL-01A,38.960976,-10.919451,TCGA-PRAD
TCGA-2A-A8VO-01A,45.82369,-17.878054,TCGA-PRAD
TCGA-2A-A8VT-01A,43.144848,-12.154954,TCGA-PRAD
TCGA-2A-A8VV-01A,46.12851,-10.762975,TCGA-PRAD
TCGA-2A-A8VX-01A,44.198368,-18.691404,TCGA-PRAD
TCGA-2A-A8W1-01A,44.21719,-18.170977,TCGA-PRAD
TCGA-2A-A8W3-01A,39.946518,-11.687386,TCGA-PRAD
TCGA-2A-AAYF-01A,45.70086,-17.65174,TCGA-PRAD
TCGA-2A-AAYO-01A,38.71984,-18.817677,TCGA-PRAD
TCGA-2A-AAYU-01A,43.535603,-14.167841,TCGA-PRAD
TCGA-2E-A9G8-01A,-11.98591,-29.71067,TCGA-UCEC
TCGA-2F-A9KO-01A,-42.332554,-13.713157,TCGA-BLCA
TCGA-2F-A9KP-01A,-39.276268,-28.200836,TCGA-BLCA
TCGA-2F-A9KQ-01A,-40.04524,-30.977777,TCGA-BLCA
TCGA-2F-A9KR-01A,-42.973026,-30.462343,TCGA-BLCA
TCGA-2F-A9KT-01A,-40.29175,-25.962807,TCGA-BLCA
TCGA-2F-A9KW-01A,-39.95162,-26.274164,TCGA-BLCA
TCGA-2G-AAEW-01A,-7.863615,40.474163,TCGA-TGCT
TCGA-2G-AAEX-01A,-7.2663455,40.11973,TCGA-TGCT
TCGA-2G-AAF1-01A,-7.67968,39.420757,TCGA-TGCT
TCGA-2G-AAF4-01A,-7.4205647,39.85139,TCGA-TGCT
TCGA-2G-AAF6-01A,-7.1203136,40.52113,TCGA-TGCT
TCGA-2G-AAF8-01A,-6.9112926,38.69119,TCGA-TGCT
TCGA-2G-AAFE-01A,-7.052431,40.492043,TCGA-TGCT
TCGA-2G-AAFG-01A,-7.8277087,39.64342,TCGA-TGCT
TCGA-2G-AAFG-05A,-7.4236827,38.783512,TCGA-TGCT
TCGA-2G-AAFH-01A,-7.058519,39.17767,TCGA-TGCT
TCGA-2G-AAFI-01A,-5.0333786,33.070194,TCGA-TGCT
TCGA-2G-AAFJ-01A,-5.615936,29.219202,TCGA-TGCT
TCGA-2G-AAFL-01A,-6.609437,33.226036,TCGA-TGCT
TCGA-2G-AAFM-01A,-6.389079,33.370193,TCGA-TGCT
TCGA-2G-AAFN-01A,-4.432359,32.96933,TCGA-TGCT
TCGA-2G-AAFO-01A,-6.3356204,33.317593,TCGA-TGCT
TCGA-2G-AAFV-01A,-7.1452923,29.43379,TCGA-TGCT
TCGA-2G-AAFY-01A,-5.456617,33.374405,TCGA-TGCT
TCGA-2G-AAFZ-01A,-6.143532,29.683767,TCGA-TGCT
TCGA-2G-AAG0-01A,-5.2440553,33.37759,TCGA-TGCT
TCGA-2G-AAG3-01A,-7.475963,37.059326,TCGA-TGCT
TCGA-2G-AAG5-01A,-5.426933,29.403824,TCGA-TGCT
TCGA-2G-AAG6-01A,-5.442855,29.315718,TCGA-TGCT
TCGA-2G-AAG7-01A,-4.5281334,32.628315,TCGA-TGCT
TCGA-2G-AAG8-01A,-5.665343,33.615,TCGA-TGCT
TCGA-2G-AAG9-01A,-7.5826635,40.37861,TCGA-TGCT
TCGA-2G-AAGA-01A,-4.565181,33.5007,TCGA-TGCT
TCGA-2G-AAGC-01A,-5.331975,32.63026,TCGA-TGCT
TCGA-2G-AAGE-01A,-4.960308,32.95081,TCGA-TGCT
TCGA-2G-AAGF-01A,-4.7685947,32.736103,TCGA-TGCT
TCGA-2G-AAGG-01A,-6.162627,30.354294,TCGA-TGCT
TCGA-2G-AAGI-01A,-5.6779666,30.484737,TCGA-TGCT
TCGA-2G-AAGI-05A,-7.905546,39.73487,TCGA-TGCT
TCGA-2G-AAGJ-01A,-5.315165,33.372974,TCGA-TGCT
TCGA-2G-AAGK-01A,-5.189259,32.93495,TCGA-TGCT
TCGA-2G-AAGM-01A,-6.477641,29.375713,TCGA-TGCT
TCGA-2G-AAGN-01A,-5.1893473,33.600273,TCGA-TGCT
TCGA-2G-AAGO-01A,-5.0625257,33.421402,TCGA-TGCT
TCGA-2G-AAGP-01A,-6.0695553,31.204556,TCGA-TGCT
TCGA-2G-AAGS-01A,-4.863781,32.022064,TCGA-TGCT
TCGA-2G-AAGT-01A,-8.0919695,29.25263,TCGA-TGCT
TCGA-2G-AAGV-01A,-5.0180764,29.123964,TCGA-TGCT
TCGA-2G-AAGW-01A,-4.023665,32.77063,TCGA-TGCT
TCGA-2G-AAGX-01A,-5.5924387,29.266935,TCGA-TGCT
TCGA-2G-AAGY-01A,-5.8890815,29.053564,TCGA-TGCT
TCGA-2G-AAGY-05A,-7.7416463,41.4238,TCGA-TGCT
TCGA-2G-AAGZ-01A,-6.6336846,32.844715,TCGA-TGCT
TCGA-2G-AAH0-01A,-6.953765,40.312588,TCGA-TGCT
TCGA-2G-AAH2-01A,-5.8915505,30.977936,TCGA-TGCT
TCGA-2G-AAH3-01A,-8.65046,40.886574,TCGA-TGCT
TCGA-2G-AAH4-01A,-6.135649,29.862448,TCGA-TGCT
TCGA-2G-AAH8-01A,-7.213276,41.375275,TCGA-TGCT
TCGA-2G-AAHA-01A,-7.431229,40.124615,TCGA-TGCT
TCGA-2G-AAHC-01A,-7.8196597,38.97165,TCGA-TGCT
TCGA-2G-AAHG-01A,-7.742018,41.360657,TCGA-TGCT
TCGA-2G-AAHL-01A,-5.514801,40.200577,TCGA-TGCT
TCGA-2G-AAHN-01A,-5.9916,39.363205,TCGA-TGCT
TCGA-2G-AAHP-01A,-6.6123767,41.71675,TCGA-TGCT
TCGA-2G-AAHP-05A,-6.8808703,40.33874,TCGA-TGCT
TCGA-2G-AAHT-01A,-7.0601635,40.673767,TCGA-TGCT
TCGA-2G-AAKD-01A,-4.4581914,33.178562,TCGA-TGCT
TCGA-2G-AAKG-01A,-5.456896,32.667816,TCGA-TGCT
TCGA-2G-AAKG-05A,-7.404843,34.029137,TCGA-TGCT
TCGA-2G-AAKH-01A,-5.5541153,34.25109,TCGA-TGCT
TCGA-2G-AAKL-01A,-4.8524714,33.29179,TCGA-TGCT
TCGA-2G-AAKM-01A,-4.892281,33.07908,TCGA-TGCT
TCGA-2G-AAKO-01A,-8.053549,39.040943,TCGA-TGCT
TCGA-2G-AAKO-05A,-8.236697,39.157944,TCGA-TGCT
TCGA-2G-AAL5-01A,-6.2248573,28.867266,TCGA-TGCT
TCGA-2G-AAL7-01A,-4.8260765,33.402027,TCGA-TGCT
TCGA-2G-AALF-01A,-8.36899,29.340414,TCGA-TGCT
TCGA-2G-AALG-01A,-6.9884424,31.507868,TCGA-TGCT
TCGA-2G-AALN-01A,-6.161472,31.76483,TCGA-TGCT
TCGA-2G-AALO-01A,-6.4970045,30.419373,TCGA-TGCT
TCGA-2G-AALP-01A,-4.589979,32.650856,TCGA-TGCT
TCGA-2G-AALQ-01A,-6.4651623,29.455412,TCGA-TGCT
TCGA-2G-AALR-01A,-6.7588873,29.234362,TCGA-TGCT
TCGA-2G-AALS-01A,-6.6437907,32.681602,TCGA-TGCT
TCGA-2G-AALT-01A,-6.7388797,31.474775,TCGA-TGCT
TCGA-2G-AALW-01A,-6.1087008,30.194923,TCGA-TGCT
TCGA-2G-AALX-01A,-5.7381005,29.229214,TCGA-TGCT
TCGA-2G-AALY-01A,-5.857376,31.959229,TCGA-TGCT
TCGA-2G-AALZ-01A,-5.3839445,29.908304,TCGA-TGCT
TCGA-2G-AAM2-01A,-4.012769,32.55685,TCGA-TGCT
TCGA-2G-AAM3-01A,-5.4856367,29.46728,TCGA-TGCT
TCGA-2G-AAM4-01A,-3.946392,32.408707,TCGA-TGCT
