,0,1,cancer_type
TCGA-OR-A5JG-01A-11R-A29S-07,-31.66845,-6.474602,TCGA-ACC
TCGA-OR-A5LG-01A-11R-A29S-07,-31.446856,-6.9363713,TCGA-ACC
TCGA-PK-A5H9-01A-11R-A29S-07,-32.76806,-8.413132,TCGA-ACC
TCGA-OR-A5J5-01A-11R-A29S-07,-31.413746,-7.2441673,TCGA-ACC
TCGA-OR-A5LN-01A-11R-A29S-07,-31.04316,-7.88743,TCGA-ACC
TCGA-OR-A5KX-01A-11R-A29S-07,-31.409359,-7.2206736,TCGA-ACC
TCGA-OU-A5PI-01A-12R-A29S-07,-32.17237,-7.2603817,TCGA-ACC
TCGA-OR-A5K4-01A-11R-A29S-07,-32.048916,-7.704316,TCGA-ACC
TCGA-OR-A5JR-01A-11R-A29S-07,-32.36129,-7.872946,TCGA-ACC
TCGA-OR-A5LM-01A-11R-A29S-07,-31.604828,-7.5516844,TCGA-ACC
TCGA-PK-A5H8-01A-11R-A29S-07,-32.35895,-7.1914015,TCGA-ACC
TCGA-OR-A5K2-01A-11R-A29S-07,-30.87391,-6.91677,TCGA-ACC
TCGA-OR-A5JO-01A-11R-A29S-07,-30.667973,-8.305179,TCGA-ACC
TCGA-OR-A5K8-01A-11R-A29S-07,-30.78102,-7.70961,TCGA-ACC
TCGA-OR-A5JE-01A-11R-A29S-07,-31.286789,-6.425084,TCGA-ACC
TCGA-OR-A5L3-01A-11R-A29S-07,-30.527466,-7.568983,TCGA-ACC
TCGA-OR-A5JM-01A-11R-A29S-07,-31.99401,-6.56543,TCGA-ACC
TCGA-OR-A5J1-01A-11R-A29S-07,-31.368578,-6.8841863,TCGA-ACC
TCGA-OR-A5JT-01A-11R-A29S-07,-32.321102,-7.771678,TCGA-ACC
TCGA-OR-A5LR-01A-11R-A29S-07,-32.229916,-7.917995,TCGA-ACC
TCGA-OR-A5L6-01A-11R-A29S-07,-30.962448,-7.63604,TCGA-ACC
TCGA-OR-A5KY-01A-11R-A29S-07,-32.249527,-6.8336935,TCGA-ACC
