,0,1,cancer_type
TCGA-05-4384-01A,0.03583508,1.4190872,TCGA-LUAD
TCGA-05-4390-01A,0.8782506,-1.5971135,TCGA-LUAD
TCGA-05-4396-01A,0.55789894,-2.4914162,TCGA-LUAD
TCGA-05-4405-01A,-0.69531447,-4.0317025,TCGA-LUAD
TCGA-05-4410-01A,-6.716425,-0.840351,TCGA-LUAD
TCGA-05-4415-01A,-2.2580256,6.6598964,TCGA-LUAD
TCGA-05-4417-01A,-2.3357143,-2.4393656,TCGA-LUAD
TCGA-05-4424-01A,-5.0971556,2.192116,TCGA-LUAD
TCGA-05-4425-01A,0.18756206,-4.4798183,TCGA-LUAD
TCGA-05-4427-01A,-4.461466,3.6242626,TCGA-LUAD
TCGA-05-4433-01A,-31.623608,-5.243711,TCGA-LUAD
TCGA-05-5420-01A,-3.702483,5.5659537,TCGA-LUAD
TCGA-05-5423-01A,0.59298825,0.69593865,TCGA-LUAD
TCGA-05-5425-01A,-4.4597626,1.5795797,TCGA-LUAD
TCGA-05-5428-01A,-0.86675066,-1.3519838,TCGA-LUAD
TCGA-05-5429-01A,-31.88675,-5.1375847,TCGA-LUAD
TCGA-05-5715-01A,0.45322087,-2.8533328,TCGA-LUAD
TCGA-06-0125-01A,27.506855,-10.635218,TCGA-GBM
TCGA-06-0125-02A,25.655914,-9.389783,TCGA-GBM
TCGA-06-0152-02A,26.067364,-10.330209,TCGA-GBM
TCGA-06-0171-02A,23.518032,-3.7339375,TCGA-GBM
TCGA-06-0190-01A,24.449009,-5.568245,TCGA-GBM
TCGA-06-0190-02A,23.289928,-4.2170663,TCGA-GBM
TCGA-06-0210-01A,24.592825,-7.891411,TCGA-GBM
TCGA-06-0210-02A,24.76825,-8.026717,TCGA-GBM
TCGA-06-0211-01A,25.598925,-9.921116,TCGA-GBM
TCGA-06-0211-02A,26.061543,-10.423519,TCGA-GBM
TCGA-06-0221-02A,32.350685,-4.037833,TCGA-GBM
TCGA-06-1804-01A,27.602959,-10.610546,TCGA-GBM
TCGA-06-5408-01A,28.394745,-7.944006,TCGA-GBM
TCGA-06-5410-01A,23.309538,-3.3611293,TCGA-GBM
TCGA-06-5411-01A,27.677603,-5.87192,TCGA-GBM
TCGA-06-5412-01A,23.352242,-3.500001,TCGA-GBM
TCGA-06-5413-01A,26.991459,-9.115073,TCGA-GBM
TCGA-06-5414-01A,26.101679,-10.560032,TCGA-GBM
TCGA-06-5416-01A,27.102316,-1.8788935,TCGA-GBM
TCGA-06-5417-01A,32.37107,-4.107946,TCGA-GBM
TCGA-06-5418-01A,27.878275,-8.263744,TCGA-GBM
TCGA-06-5856-01A,28.363169,-9.7298355,TCGA-GBM
TCGA-06-5858-01A,28.281353,-4.4527283,TCGA-GBM
TCGA-06-5859-01A,27.036013,-7.6599426,TCGA-GBM
TCGA-06-AABW-11A,27.465506,-1.9858599,TCGA-GBM
TCGA-12-5295-01A,25.57497,-10.432216,TCGA-GBM
TCGA-12-5299-01A,30.312948,-9.35455,TCGA-GBM
TCGA-13-A5FT-01A,10.7624655,-9.403357,TCGA-OV
TCGA-14-0736-02A,24.751986,-5.136939,TCGA-GBM
TCGA-14-0781-01B,23.387424,-3.5004292,TCGA-GBM
TCGA-14-1034-02B,29.468481,-10.198232,TCGA-GBM
TCGA-14-1402-02A,26.571167,-10.899419,TCGA-GBM
TCGA-15-1444-01A,35.861786,-6.3636575,TCGA-GBM
TCGA-18-3417-01A,-4.4741187,14.99491,TCGA-LUSC
TCGA-18-4721-01A,-3.1515455,15.36495,TCGA-LUSC
TCGA-18-5592-01A,-0.9097673,20.559368,TCGA-LUSC
TCGA-18-5595-01A,0.4744152,20.841284,TCGA-LUSC
TCGA-19-0957-02A,26.202456,-7.5731163,TCGA-GBM
TCGA-19-1389-02A,24.325838,-5.28393,TCGA-GBM
